CriminalId,CaseId,SuspectId,victimId,MotiveId,Status
1,1,1,1,1,Arrested
2,1,2,3,5,Surrender
3,1,3,2,6,Killed
4,2,6,4,4,Arrested
5,2,5,4,6,Arrested
6,2,7,4,4,Arrested
7,3,9,5,2,Arrested
8,3,10,5,6,Arrested
9,4,14,6,8,Arrested
10,4,15,6,8,Arrested
11,4,16,6,8,Arrested
12,4,17,6,8,Arrested
13,4,18,6,8,Arrested
14,5,20,7,9,Dead
15,6,21,8,8,Arrested
16,6,22,8,8,Arrested
17,6,23,8,8,Arrested
18,6,24,8,8,Arrested
19,6,25,8,8,Arrested
20,7,27,9,10,Arrested
21,7,28,9,10,Arrested
22,7,29,9,10,Arrested
23,7,30,9,10,Arrested
24,7,31,9,10,Arrested
25,7,32,9,10,Arrested
26,7,33,9,10,Arrested
27,7,34,9,10,Arrested
28,8,36,10,11,Arrested
29,8,37,10,11,Arrested
30,9,38,11,12,Arrested
31,9,38,12,12,Arrested
